bundle,status,pad_rows,pad_row_stagger_um,pad_bank_width_mm,fanout_bbox_um,fold_bands,active_ports,internal_ports,width_mm,height_mm,area_mm2,maximum_dimension_mm,pad_width_lower_bound_mm,width_target_met,crossings,length_min_mm,length_max_mm,bend_min,bend_max,normalized_hash,pareto_width_area
output/benes/reshape/rows2_bands1,verified,2,0,41.56,"[-40.0, -4584.602, 50046.328, 14744.602]",1,100,128,50.286328000000005,19.529204,982.051957922912,50.286328000000005,41.56,False,7680,50.006328000000025,57.54604056739724,0,480,50180f105314118ab1c00507bf94dc1d7bf3f01e7c5129352152983140b46dd3,True
output/benes/reshape/rows3_bands1,verified,3,0,27.759999999999998,"[-40.0, -4936.638, 50046.328, 15096.638]",1,100,128,50.286328000000005,20.233276,1017.4571534505279,50.286328000000005,27.76,False,7680,50.006328000000025,57.54604056739724,0,480,f29717f7962886a5c15e455946d8042fba2714c4140969e1e1752e4c4d21bfcb,False
output/benes/staggered/offset0,verified,4,0,20.76,"[-40.0, -6828.894, 50046.328, 16988.894]",1,100,128,50.286328000000005,24.017788,1207.766365202464,50.286328000000005,20.76,False,7680,50.006328000000025,57.54604056739724,0,480,57c4ae84f3baa07e18e4de854724f67a39ebf589d4606c87876bca69bdf9ba9c,False
output/benes/staggered/offset25,verified,4,25,20.835,"[-40.0, -6828.894, 50046.328, 16988.894]",1,100,128,50.286328000000005,24.017788,1207.766365202464,50.286328000000005,20.76,False,7680,50.006328000000025,57.54604056739724,0,480,60df3173e9622b0d429578b6aac2c4daf2464f5433ab662b78f8fb0a30c6240d,False
