bundle,status,pad_rows,pad_distribution,lane_pitch_um,interstage_routing,electrical_routing,share_interstage,shuffle_pitch_um,objective,pad_row_stagger_um,pad_bank_width_mm,fanout_bbox_um,fold_bands,band_stage_counts,active_ports,internal_ports,width_mm,height_mm,area_mm2,maximum_dimension_mm,pad_width_lower_bound_mm,width_target_met,crossings,length_min_mm,length_max_mm,bend_min,bend_max,crossing_min,crossing_max,normalized_hash,pareto_width_area
output/benes/aligned/pitch-100,verified,3,central,60,continuous,three-row,True,,"[463104163470024, 5944.065821068572, 240, 24, 3353523.3216474247, 'candidate-000']",25,36.277438000000004,"[0.0, -6322.316, 36314.307, 6322.316]",1,[13],100,128,36.394307,12.724632,463.104163470024,36.394307,27.76,False,7680,36.234307,42.17837282106857,0,24,0,240,be3c01e87d1545450ccd2623aacf0226bed55317c95411a2d4078c24b5998a40,False
output/benes/aligned/pitch-105,verified,3,central,60,continuous,three-row,True,,"[421317530367676, 5944.065821068572, 240, 24, 3353523.3216474247, 'candidate-000']",25,36.277438000000004,"[0.0, -5748.234, 36314.307, 5748.234]",1,[13],100,128,36.394307,11.576468,421.31753036767594,36.394307,29.145,False,7680,36.234307,42.17837282106857,0,24,0,240,e656602f14780722fbbda31b19a1d50667d88286dd4653e3b7e0c8e5df532911,False
output/benes/aligned/pitch-110,verified,3,central,60,continuous,three-row,True,,"[410106482462168, 5944.065821068572, 240, 24, 3353523.3216474247, 'candidate-000']",25,36.265436,"[0.0, -5594.212, 36314.307, 5594.212]",1,[13],100,128,36.394307,11.268424000000001,410.106482462168,36.394307,30.53,False,7680,36.234307,42.17837282106857,0,24,0,240,7799cc5fac65b387c559467d90bf54e75bf766fb6828dedaa5d0c3dc2c4786b2,False
output/benes/aligned/pitch-120,verified,3,central,60,continuous,three-row,True,,"[391761131344064, 5944.065821068572, 240, 24, 3353523.3216474247, 'candidate-000']",25,36.265436,"[0.0, -5342.176, 36314.307, 5342.176]",1,[13],100,128,36.394307,10.764352,391.761131344064,36.394307,33.3,False,7680,36.234307,42.17837282106857,0,24,0,240,502184652fed769b415f82962b38ef44acd6ce7495f363d2e220a11bed164a84,True
