bundle,status,pad_rows,pad_distribution,lane_pitch_um,pad_row_stagger_um,pad_bank_width_mm,fanout_bbox_um,fold_bands,active_ports,internal_ports,width_mm,height_mm,area_mm2,maximum_dimension_mm,pad_width_lower_bound_mm,width_target_met,crossings,length_min_mm,length_max_mm,bend_min,bend_max,normalized_hash,pareto_width_area
output/benes/staggered/offset25,verified,4,central,80.0,25,20.835,"[-40.0, -6828.894, 50046.328, 16988.894]",1,100,128,50.286328000000005,24.017788,1207.766365202464,50.286328000000005,20.76,False,7680,50.006328000000025,57.54604056739724,0,480,60df3173e9622b0d429578b6aac2c4daf2464f5433ab662b78f8fb0a30c6240d,False
output/benes/distributed/pitch80,verified,4,stage,80,25,49.237759,"[-40.0, -1312.106, 50046.328, 11472.106]",1,100,128,50.286328000000005,12.984212,652.928343453536,50.286328000000005,20.76,False,7680,50.006328000000025,57.54604056739724,0,480,9b0db55b6cae5bcc3b7b7bb62b530377ee8d2be61c0502f69f4a15d22dbfe301,False
output/benes/distributed/pitch60,verified,4,stage,60,25,44.437759,"[-40.0, -1322.106, 45246.328, 8942.106]",1,100,128,45.486328,10.464212,475.97857929353603,45.486328,20.76,False,7680,45.206328000000006,50.75781546800634,0,480,4cd95d9e21d5ec68285f1bf1d022d730d229dff7ccaba56d052ca2b5315fb474,True
