bundle,status,pad_rows,pad_distribution,lane_pitch_um,interstage_routing,electrical_routing,share_interstage,shuffle_pitch_um,objective,pad_row_stagger_um,pad_bank_width_mm,fanout_bbox_um,fold_bands,band_stage_counts,active_ports,internal_ports,width_mm,height_mm,area_mm2,maximum_dimension_mm,pad_width_lower_bound_mm,width_target_met,crossings,length_min_mm,length_max_mm,bend_min,bend_max,crossing_min,crossing_max,normalized_hash,pareto_width_area
output/benes/aligned/pitch-120,verified,3,central,60,continuous,three-row,True,,"[391761131344064, 5944.065821068572, 240, 24, 3353523.3216474247, 'candidate-000']",25,36.265436,"[0.0, -5342.176, 36314.307, 5342.176]",1,[13],100,128,36.394307,10.764352,391.761131344064,36.394307,33.3,False,7680,36.234307,42.17837282106857,0,24,0,240,502184652fed769b415f82962b38ef44acd6ce7495f363d2e220a11bed164a84,True
output/benes/gsg/n100,verified,3,central,60,continuous,three-row,True,,"[395000224667064, 5944.065821068587, 240, 24, 3353523.3216474247, 'candidate-000']",25,36.265436,"[0.0, -5342.176, 36314.307, 5342.176]",1,[13],100,128,36.394307,10.853352000000001,395.000224667064,36.394307,33.3,False,7680,36.67113713272837,42.61520295379696,104,128,0,240,6447234183c74b33f56deebd7f75cbfd824c182cb7a6acf13ca8195780ead767,False
