bundle,status,pad_rows,pad_distribution,lane_pitch_um,interstage_routing,electrical_routing,share_interstage,shuffle_pitch_um,objective,pad_row_stagger_um,pad_bank_width_mm,fanout_bbox_um,fold_bands,band_stage_counts,active_ports,internal_ports,width_mm,height_mm,area_mm2,maximum_dimension_mm,pad_width_lower_bound_mm,width_target_met,crossings,length_min_mm,length_max_mm,bend_min,bend_max,crossing_min,crossing_max,normalized_hash,pareto_width_area
output/benes/interstage/continuous,verified,4,stage,60,continuous,legacy,False,,"[436447590766352, 5944.06582106858, 240, 24, 4018392.3136474253, 'candidate-000']",25,40.660027,"[-40.0, -1322.106, 41468.596, 8942.106]",1,,100,128,41.708596,10.464212,436.447590766352,41.708596,20.76,False,7680,41.42859600000001,47.37266182106859,0,24,0,240,b4da997af071a9be2eeaf452ab412a0800a3a91c9595b4b10c2e5211fb0cd17d,True
output/benes/two-row/shared,verified,2,central,60,continuous,two-row,True,,"[429894275540000, 5944.065821068594, 240, 24, 4028172.0256474246, 'candidate-000']",25,41.585,"[0.0, -5044.122, 41585.0, 5044.122]",1,[13],100,128,41.785,10.288244,429.89427553999997,41.785,41.56,False,7680,41.504999999999995,47.44906582106859,0,24,0,240,c2263638886a5813d59b30c2bf64acbc6877edbe721db6a4745fa8d966a83564,True
output/benes/two-row/separate,verified,2,central,60,continuous,two-row,False,,"[475164540688560, 5944.065821068594, 240, 24, 4228886.777647425, 'candidate-000']",25,41.585,"[0.0, -5380.17, 43153.084, 5380.17]",1,[13],100,128,43.353084,10.96034,475.16454068855995,43.353084,41.56,False,7680,43.073083999999994,49.01714982106859,0,24,0,240,5627a642b6e7a8835faf183af79eee44120ee19515158397b0db6da6b6510766,False
